alpha,stub_gamma,degree,dim,n_clusters,latent_weight,age_weight,mean_degree,gamma,ks,C,age_assort,phq9_assort,lcc
1.63818359375,2.25146484375,5.31640625,3,4,18.68603515625,2.13916015625,4.69,5.320273723450197,0.12089555015093756,0.105618781559571,0.2821161736787413,-0.012415740007573959,1.0
1.63818359375,2.25146484375,5.31640625,3,4,16.40087890625,3.23779296875,4.62,4.562122964108719,0.15791326488341217,0.09141169524489962,0.2590453237222326,0.045209275339725116,1.0
3.46630859375,1.69189453125,7.16015625,5,7,18.68603515625,3.23779296875,4.12,2.3877068857237367,0.10283955409815826,0.15302222856052633,0.13574350848639574,0.020387941567381662,0.74
2.20068359375,1.68896484375,5.81640625,2,3,13.96337890625,4.95166015625,3.69,2.6504840792853672,0.10979611664764477,0.10410316303300554,0.5994808519780993,0.1817643370436926,0.64
0.65380859375,1.68896484375,5.81640625,2,3,13.96337890625,4.95166015625,3.63,2.656853127710052,0.11051207198132462,0.08159928834856482,0.28122741147735963,0.06798509920288644,0.655
2.20068359375,2.25439453125,5.81640625,2,3,13.96337890625,4.95166015625,4.22,3.4548399259516023,0.14760222016976354,0.11534852571836016,0.7158235643799795,0.28276253863353273,1.0
2.20068359375,1.68896484375,5.66015625,2,3,13.96337890625,4.95166015625,3.58,2.6873227691360295,0.09635841955952185,0.10429660701617223,0.5722061323338405,0.21194368491939922,0.6
2.20068359375,1.68896484375,5.81640625,2,3,13.96337890625,4.95166015625,3.69,2.6504840792853672,0.10979611664764477,0.10410316303300554,0.5994808519780993,0.1817643370436926,0.64
2.20068359375,1.68896484375,5.81640625,2,8,13.96337890625,4.95166015625,3.69,2.6504840792853672,0.10979611664764477,0.10410316303300554,0.5994808519780993,0.1817643370436926,0.64
2.20068359375,1.68896484375,5.81640625,2,3,6.49853515625,4.95166015625,3.69,2.6504840792853672,0.10979611664764477,0.10410316303300554,0.5994808519780993,0.1817643370436926,0.64
2.20068359375,1.68896484375,5.81640625,2,3,13.96337890625,4.92529296875,3.6,2.6603555251091753,0.11090266596626464,0.08751911509991331,0.5692569097191341,0.21108114659255667,0.645
0.65380859375,2.25439453125,5.66015625,2,8,6.49853515625,4.92529296875,3.99,3.7714592285622612,0.11109119062056783,0.0776713276254264,0.3218615030140525,0.009436861472983166,1.0
